10001;COMP101;5.8;6.2
10001;ELEC103;5.9;6.1
10001;MECA104;6.0;6.1

10002;SINF102;6.8;7.2
10002;SOFT105;6.9;7.1
10002;FIS106;7.0;7.1

10003;ELEC103;7.8;8.2
10003;CIV107;7.9;8.1
10003;PROD108;8.0;8.1

10004;MECA104;5.7;6.3
10004;QUI109;5.9;6.1
10004;TELE110;6.0;6.1

10005;SOFT105;6.7;7.3
10005;COMP101;6.9;7.1
10005;SINF102;7.0;7.1

10006;FIS106;7.6;8.4
10006;ELEC103;7.8;8.2
10006;MECA104;8.0;8.1

10007;CIV107;5.9;6.1
10007;QUI109;5.8;6.2
10007;TELE110;6.0;6.1

10008;PROD108;6.8;7.2
10008;SINF102;6.9;7.1
10008;COMP101;7.0;7.1

10009;QUI109;7.6;8.4
10009;ELEC103;7.8;8.2
10009;MECA104;8.0;8.1

10010;TELE110;5.8;6.2
10010;FIS106;5.9;6.1
10010;PROD108;6.0;6.1

10011;COMP101;6.7;7.3
10011;CIV107;6.9;7.1
10011;SINF102;7.0;7.1

10012;SINF102;7.6;8.4
10012;QUI109;7.8;8.2
10012;TELE110;8.0;8.1

10013;ELEC103;5.7;6.3
10013;SOFT105;5.9;6.1
10013;FIS106;6.0;6.1

10014;MECA104;6.8;7.2
10014;PROD108;6.9;7.1
10014;COMP101;7.0;7.1

10015;SOFT105;7.6;8.4
10015;CIV107;7.8;8.2
10015;SINF102;8.0;8.1

10016;FIS106;5.8;6.2
10016;ELEC103;5.9;6.1
10016;QUI109;6.0;6.1

10017;CIV107;6.7;7.3
10017;TELE110;6.9;7.1
10017;MECA104;7.0;7.1

10018;PROD108;7.6;8.4
10018;COMP101;7.8;8.2
10018;SINF102;8.0;8.1

10019;QUI109;5.7;6.3
10019;ELEC103;5.9;6.1
10019;SOFT105;6.0;6.1

10020;TELE110;6.8;7.2
10020;FIS106;6.9;7.1
10020;PROD108;7.0;7.1
